county,population
Alameda,1671329
Contra Costa,1153526
Marin,258826
Monterey,434061
Napa,137744
San Francisco,881549
San Mateo,766573
Santa Clara,1927852
Santa Cruz,273213
Sonoma,494336
Solano,447643
